Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,54.380001,54.759998,54.299999,54.529999,45.805283,1115700
2019-11-12,54.540001,54.700001,54.090000,54.150002,45.486080,1096000
2019-11-13,54.099998,54.430000,54.040001,54.299999,45.612083,1171400
2019-11-14,54.220001,54.330002,54.020000,54.270000,45.586884,875900
2019-11-15,54.189999,54.630001,54.189999,54.389999,45.687679,1096500
2019-11-18,54.290001,54.369999,54.080002,54.369999,45.670879,1067500
2019-11-19,54.400002,54.439999,53.660000,53.660000,45.074482,1803400
2019-11-20,53.610001,54.180000,53.430000,53.779999,45.175282,2820900
2019-11-21,54.139999,54.439999,53.939999,54.259998,45.578484,2317900
2019-11-22,54.480000,54.580002,54.060001,54.290001,45.603680,646500
2019-11-25,53.950001,54.119999,53.779999,53.790001,45.183681,1121300
2019-11-26,53.450001,53.480000,53.009998,53.160000,44.654484,2382900
2019-11-27,52.980000,53.110001,52.700001,52.880001,44.419281,2213000
2019-11-29,52.520000,52.650002,52.410000,52.540001,44.133678,515200
2019-12-02,52.360001,52.520000,52.110001,52.209999,43.856480,1513400
2019-12-03,51.619999,52.040001,51.290001,51.830002,43.537281,1385800
2019-12-04,52.160000,52.470001,52.080002,52.290001,43.923679,1758700
2019-12-05,52.790001,52.810001,52.279999,52.290001,43.923679,1256400
2019-12-06,52.669998,53.160000,52.669998,52.980000,44.503277,1293500
2019-12-09,52.810001,53.040001,52.529999,52.630001,44.209278,1077300
2019-12-10,52.630001,52.889999,52.459999,52.540001,44.133678,1833300
2019-12-11,52.660000,52.889999,52.459999,52.680000,44.251282,1085000
2019-12-12,52.759998,53.360001,52.730000,53.130001,44.629280,1167500
2019-12-13,53.500000,53.779999,52.959999,52.959999,44.486481,1538900
2019-12-16,53.910000,53.990002,53.689999,53.700001,45.108082,1755200
2019-12-17,54.459999,54.599998,54.090000,54.230000,45.553288,1168500
2019-12-18,54.310001,54.340000,53.980000,54.299999,45.612083,1673000
2019-12-19,54.330002,54.560001,54.240002,54.410000,45.704483,1615300
2019-12-20,54.590000,54.630001,54.240002,54.369999,45.670879,2364900
2019-12-23,54.430000,55.040001,54.389999,55.040001,46.233688,2000100
2019-12-24,54.810001,55.000000,54.759998,54.779999,46.015282,464300
2019-12-26,54.869999,55.270000,54.869999,55.110001,46.292488,646600
2019-12-27,55.150002,55.220001,54.980000,54.980000,46.183285,1019300
2019-12-30,55.320000,55.400002,55.090000,55.090000,46.275681,1414200
2019-12-31,55.099998,55.310001,54.980000,55.299999,46.452080,565800
2020-01-02,55.139999,55.279999,54.830002,55.270000,47.049877,1166500
2020-01-03,55.270000,55.720001,55.220001,55.470001,47.220127,1519000
2020-01-06,56.730000,56.910000,56.169998,56.509998,48.105446,3516900
2020-01-07,56.310001,56.330002,55.700001,56.189999,47.833042,2463000
2020-01-08,55.939999,56.099998,55.610001,55.849998,47.543613,2831400
2020-01-09,55.590000,56.040001,55.250000,55.880001,47.569149,2293500
2020-01-10,55.560001,55.630001,55.270000,55.459999,47.211617,3621700
2020-01-13,55.000000,55.450001,54.799999,55.400002,47.160542,3270400
